2\2\0\-1,2\253\0\-1,0\253\0\-1,0\253\0\-1,0\278\0\-1,2\278\0\-1,0\278\0\-1,0\253\0\-1,2\253\0\-1,0\229\0\-1,2\253\0\-1,2\229\0\-1,2\229\0\-1,2\229\0\-1,2\229\0\-1,0\229\0\-1,2\229\0\-1,0\229\0\-1,50\229\0\-1,0\229\0\-1,50\229\0\-1,50\229\0\-1,25\229\0\-1,2\229\0\-1,25\253\0\-1,2\229\0\-1,0\229\0\-1,2\-1\0\-1
2\2\0\-1,0\115\0\-1,0\75\0\-1,0\120\0\-1,0\124\0\-1,0\152\0\-1,0\120\0\-1,0\139\0\-1,0\75\0\-1,0\103\0\-1,0\152\0\-1,0\117\0\-1,0\80\0\-1,0\120\0\-1,0\101\0\-1,0\103\0\-1,0\124\0\-1,0\80\0\-1,26\56\0\-1,0\177\0\-1,0\80\0\-1,0\138\0\-1,0\56\0\-1,0\176\0\-1,25\149\0\-1,0\177\0\-1,0\165\0\-1,2\-1\0\-1
2\2\0\-1,0\128\0\-1,50\232\0\-1,50\50\0\-1,50\50\0\-1,0\-1\0\-1,26\-1\0\-1,0\4\2\-1,0\4\3\-1,0\4\3\-1,0\4\3\-1,0\-1\0\-1,0\0\0\-1,0\4\2\-1,0\4\3\-1,0\4\3\-1,0\4\3\-1,0\-1\0\-1,0\-1\0\-1,0\4\2\-1,0\4\3\-1,0\4\3\-1,0\4\3\-1,0\253\0\-1,4\-1\0\-1,4\-1\0\-1,4\311\0\-1,0\-1\0\-1
2\-1\0\-1,0\152\0\-1,50\50\0\-1,50\-1\0\-1,50\50\0\-1,0\-1\0\-1,0\-1\0\-1,0\4\2\-1,0\-1\0\-1,0\-1\0\-1,0\4\1\-1,0\-1\0\-1,0\-1\0\-1,0\4\2\-1,0\-1\0\-1,26\-1\0\-1,0\4\1\-1,0\-1\0\-1,0\-1\0\-1,0\4\2\-1,0\-1\0\-1,26\-1\0\-1,0\4\1\-1,0\328\0\-1,3\-1\0\-1,3\289\0\-1,3\-1\0\-1,0\2\0\-1
2\2\0\-1,0\283\0\-1,50\50\0\-1,50\50\0\-1,0\4\0\0,3\-1\3\-1,0\4\3\-1,3\-1\3\-1,0\-1\0\-1,26\-1\0\-1,3\-1\1\-1,3\-1\3\-1,3\-1\3\-1,3\-1\3\-1,25\-1\0\-1,0\-1\0\-1,3\-1\1\-1,3\-1\3\-1,3\-1\3\-1,3\-1\3\-1,0\-1\0\-1,0\-1\0\-1,0\4\1\-1,0\4\3\-1,3\-1\3\1,3\291\0\-1,3\-1\0\-1,2\2\0\-1
2\2\0\-1,8\1\0\-1,8\1\0\-1,8\12\0\-1,7\12\0\-1,7\12\0\-1,8\1\0\-1,7\1\0\-1,8\-1\0\-1,8\1\0\-1,7\9\0\-1,8\1\0\-1,7\1\0\-1,9\1\0\-1,9\1\0\-1,7\1\0\-1,9\7\0\-1,9\7\0\-1,7\9\0\-1,7\7\0\-1,8\8\0\-1,7\1\0\-1,8\1\0\-1,25\1\0\-1,0\4\0\-1,3\264\0\-1,3\-1\0\-1,0\2\0\-1
2\2\0\-1,7\1\0\-1,7\13\0\-1,8\12\0\-1,9\1\0\-1,9\1\0\-1,9\1\0\-1,8\9\0\-1,8\9\0\-1,8\1\0\-1,9\9\0\-1,9\1\0\-1,9\1\0\-1,8\1\0\-1,9\1\0\-1,9\7\0\-1,9\8\0\-1,11\1\0\-1,11\1\0\-1,11\1\0\-1,11\1\0\-1,9\1\0\-1,11\7\0\-1,25\1\0\-1,4\-1\0\-1,4\-1\0\-1,4\311\0\-1,2\2\0\-1
2\2\0\-1,0\128\0\-1,0\337\0\-1,0\333\0\-1,0\337\0\-1,0\337\0\-1,0\334\0\-1,0\337\0\-1,0\337\0\-1,0\336\0\-1,0\334\0\-1,0\337\0\-1,0\336\0\-1,0\335\0\-1,0\334\0\-1,0\336\0\-1,0\337\0\-1,0\335\0\-1,0\336\0\-1,2\335\0\-1,2\334\0\-1,2\333\0\-1,0\333\0\-1,25\333\0\-1,25\216\0\-1,25\216\0\-1,25\256\0\-1,2\2\0\-1
0\2\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\5\0\-1,0\4\0\-1,0\4\0\-1,0\5\0\-1,0\4\0\-1,0\5\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,25\4\0\-1,0\330\0\-1,0\330\0\-1,0\330\0\-1,0\2\0\-1
2\2\0\-1,4\285\0\-1,4\308\0\-1,3\308\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\192\0\-1,4\168\0\-1,4\193\0\-1,2\2\0\-1
0\2\0\-1,4\308\0\-1,8\32\0\0,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,8\32\3\-1,1\32\3\-1,1\32\3\-1,1\32\3\-1,1\32\3\-1,1\32\3\-1,4\3\3\2,4\167\0\-1,4\166\0\-1,0\2\0\-1
2\2\0\-1,4\284\0\-1,4\308\0\-1,4\308\0\-1,4\5\0\-1,4\5\0\-1,4\4\0\-1,4\5\0\-1,4\5\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\5\0\-1,4\5\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\4\0\-1,4\168\0\-1,4\192\0\-1,4\193\0\-1,25\2\0\-1
2\2\0\-1,0\5\0\-1,0\5\0\-1,0\5\0\-1,0\5\0\-1,0\4\0\-1,0\4\0\-1,0\5\0\-1,0\5\0\-1,0\5\0\-1,0\4\0\-1,0\5\0\-1,0\4\0\-1,0\5\0\-1,0\4\0\-1,0\5\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\4\0\-1,0\330\0\-1,0\330\0\-1,0\330\0\-1,2\2\0\-1
2\2\0\-1,0\98\0\-1,0\177\0\-1,0\170\0\-1,178\146\0\-1,0\171\0\-1,0\178\0\-1,0\99\0\-1,0\124\0\-1,0\139\0\-1,0\176\0\-1,0\89\0\-1,0\139\0\-1,0\165\0\-1,0\178\0\-1,0\164\0\-1,0\89\0\-1,0\140\0\-1,0\114\0\-1,0\165\0\-1,0\164\0\-1,0\175\0\-1,0\114\0\-1,0\165\0\-1,0\140\0\-1,0\117\0\-1,0\118\0\-1,2\2\0\-1
2\2\0\-1,0\253\0\-1,0\253\0\-1,2\253\0\-1,0\253\0\-1,2\253\0\-1,0\253\0\-1,2\253\0\-1,0\253\0\-1,2\253\0\-1,0\253\0\-1,2\253\0\-1,0\253\0\-1,0\253\0\-1,0\253\0\-1,2\253\0\-1,2\253\0\-1,2\253\0\-1,25\253\0\-1,2\253\0\-1,2\253\0\-1,0\253\0\-1,0\253\0\-1,2\253\0\-1,0\253\0\-1,2\253\0\-1,0\253\0\-1,0\2\0\-1
