0\0\0\-1,0\0\0\-1,0\302\0\-1,0\275\0\-1,0\302\0\-1,0\301\0\-1,0\300\0\-1,0\301\0\-1,0\302\0\-1,0\300\0\-1,0\300\0\-1,0\300\0\-1,0\302\0\-1,0\302\0\-1,0\302\0\-1,0\300\0\-1,0\300\0\-1,0\0\0\-1,0\0\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\0\0\-1
0\0\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\0\0\-1,1\1\0\-1,12\79\2\2,11\1\0\-1,10\1\0\-1,10\79\2\3,10\9\0\-1,9\1\0\-1,12\79\2\4,0\1\0\-1,0\0\0\-1
50\0\0\-1,25\-1\0\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,4\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,4\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\2\-1,0\0\0\-1,1\1\0\-1,11\34\2\-1,9\1\0\-1,10\9\0\-1,10\34\2\-1,9\1\0\-1,4\-1\0\-1,9\34\2\-1,0\1\0\-1,0\0\0\-1
0\0\0\-1,25\-1\0\-1,3\-1\1\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\2\-1,0\0\0\-1,1\1\0\-1,10\34\2\-1,4\207\0\-1,3\-1\0\-1,1\34\2\-1,1\1\0\-1,4\-1\0\-1,9\34\2\-1,0\1\0\-1,0\0\0\-1
0\0\0\-1,25\-1\0\-1,3\-1\1\-1,0\-1\0\-1,3\-1\4\-1,4\-1\4\-1,4\-1\4\-1,3\-1\4\-1,4\-1\4\-1,3\-1\4\-1,4\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\2\-1,0\-1\0\-1,3\-1\2\-1,0\0\0\-1,1\1\0\-1,10\34\2\-1,4\-1\0\-1,4\-1\0\-1,7\34\2\-1,1\1\0\-1,1\1\0\-1,12\34\2\-1,0\1\0\-1,0\0\0\-1
0\0\0\-1,25\-1\0\-1,3\-1\1\-1,0\-1\0\-1,3\-1\1\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\2\-1,0\-1\0\-1,3\-1\2\-1,0\0\0\-1,1\1\0\-1,10\34\2\-1,4\-1\0\-1,7\1\0\-1,9\34\2\-1,4\-1\0\-1,1\1\0\-1,7\34\2\-1,0\1\0\-1,0\0\0\-1
0\0\0\-1,25\-1\0\-1,4\-1\1\-1,0\-1\0\-1,3\-1\1\-1,0\-1\0\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\4\-1,3\-1\2\-1,0\-1\0\-1,3\-1\2\-1,0\-1\0\-1,3\-1\2\-1,0\0\0\-1,1\1\0\-1,12\34\2\-1,1\1\0\-1,8\10\0\-1,7\34\2\-1,4\-1\0\-1,4\-1\0\-1,7\34\2\-1,0\1\0\-1,0\0\0\-1
0\0\0\-1,25\-1\0\-1,3\-1\1\-1,0\-1\0\-1,4\-1\1\-1,0\-1\0\-1,3\-1\1\-1,0\-1\0\-1,0\-1\0\-1,27\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\2\-1,0\-1\0\-1,3\-1\2\-1,0\-1\0\-1,4\-1\2\-1,0\0\0\-1,1\1\0\-1,8\34\2\-1,8\1\0\-1,8\10\0\-1,7\34\2\-1,4\-1\0\-1,7\1\0\-1,11\34\2\-1,0\1\0\-1,0\0\0\-1
0\0\0\-1,25\-1\0\-1,3\-1\1\-1,0\-1\0\-1,3\-1\1\-1,0\-1\0\-1,3\-1\1\-1,0\-1\0\-1,3\339\0\-1,3\-1\3\0,4\-1\3\-1,3\-1\3\-1,3\-1\3\-1,0\-1\0\-1,4\-1\2\-1,0\-1\0\-1,3\-1\2\-1,0\0\0\-1,1\1\0\-1,8\34\2\-1,4\-1\0\-1,7\1\0\-1,7\34\2\-1,7\1\0\-1,7\1\0\-1,9\34\2\-1,0\1\0\-1,0\0\0\-1
0\-1\0\-1,3\-1\0\-1,3\-1\1\-1,3\-1\0\-1,3\-1\1\-1,0\-1\0\-1,3\-1\1\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,27\-1\0\-1,3\-1\2\-1,0\-1\0\-1,3\-1\2\-1,0\0\0\-1,1\1\0\-1,9\34\2\-1,7\209\0\-1,4\-1\0\-1,1\34\2\-1,7\1\0\-1,4\-1\0\-1,9\34\2\-1,0\1\0\-1,0\0\0\-1
0\-1\0\-1,3\-1\0\-1,3\178\1\1,3\-1\0\-1,4\-1\1\-1,0\-1\0\-1,3\-1\1\-1,3\-1\3\-1,3\-1\3\-1,3\-1\3\-1,3\-1\3\-1,3\-1\3\-1,3\-1\3\-1,3\-1\3\-1,3\-1\3\-1,0\-1\0\-1,3\-1\2\-1,0\0\0\-1,1\9\0\-1,9\58\4\-1,9\32\4\-1,7\57\4\-1,1\34\2\-1,7\57\3\-1,7\57\3\-1,9\58\3\-1,0\9\0\-1,0\0\0\-1
0\-1\0\-1,3\286\0\-1,3\-1\0\-1,3\-1\0\-1,3\-1\1\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,27\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\2\-1,0\0\0\-1,1\9\0\-1,9\9\0\-1,9\1\0\-1,7\1\0\-1,7\58\2\-1,7\1\0\-1,9\1\0\-1,8\9\0\-1,0\9\0\-1,0\0\0\-1
0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,3\-1\1\-1,3\-1\3\-1,3\-1\3\-1,4\-1\3\-1,3\-1\3\-1,4\-1\3\-1,3\-1\3\-1,3\-1\3\-1,4\-1\3\-1,4\-1\3\-1,3\-1\3\-1,3\-1\3\-1,4\-1\3\-1,0\0\0\-1,1\1\0\-1,9\9\0\-1,8\9\0\-1,3\-1\0\-1,3\-1\2\-1,3\-1\0\-1,8\9\0\-1,8\9\0\-1,0\1\0\-1,0\0\0\-1
0\0\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\-1\0\-1,0\0\0\-1,0\0\0\-1,0\0\0\-1,0\0\0\-1,4\337\0\-1,4\-1\0\0,4\-1\0\-1,0\0\0\-1,0\0\0\-1,0\0\0\-1,0\0\0\-1
0\0\0\-1,0\0\0\-1,0\230\0\-1,0\232\0\-1,0\231\0\-1,0\232\0\-1,0\232\0\-1,0\231\0\-1,0\232\0\-1,0\231\0\-1,0\232\0\-1,0\230\0\-1,0\232\0\-1,0\231\0\-1,0\232\0\-1,0\230\0\-1,0\232\0\-1,0\0\0\-1,0\0\0\-1,0\0\0\-1,0\0\0\-1,3\-1\0\-1,3\-1\0\-1,3\206\0\-1,0\0\0\-1,0\0\0\-1,0\0\0\-1,0\0\0\-1
